iso_3166_1,iso_3166_1_alpha_3,layer_name,mapbox_id,name,name_en,description,polygon_tileset_id,polygon_z_min,point_z_min,centroid,bbox,admin1_id_giga
AD,AND,adm1,dXJuOm1ieGJuZDpBUklCOnY0,Canillo,,parish,mapbox.boundaries-adm1-v4,5,4,"[1.6547,42.5871]","[1.5619,42.544,1.7867,42.6303]",AND001
AD,AND,adm1,dXJuOm1ieGJuZDpCeElCOnY0,Encamp,,parish,mapbox.boundaries-adm1-v4,5,4,"[1.6368,42.5249]","[1.5442,42.4898,1.7379,42.5598]",AND002
AD,AND,adm1,dXJuOm1ieGJuZDpBaElCOnY0,La Massana,,parish,mapbox.boundaries-adm1-v4,5,4,"[1.4716,42.5585]","[1.4136,42.51,1.5595,42.6069]",AND003
AD,AND,adm1,dXJuOm1ieGJuZDpBeElCOnY0,Ordino,,parish,mapbox.boundaries-adm1-v4,5,4,"[1.5275,42.6011]","[1.4681,42.5464,1.6048,42.6559]",AND004
AD,AND,adm1,dXJuOm1ieGJuZDpCQklCOnY0,Sant Julià de Lória,,parish,mapbox.boundaries-adm1-v4,5,4,"[1.4957,42.4668]","[1.419,42.4287,1.5603,42.5049]",AND005
AD,AND,adm1,dXJuOm1ieGJuZDpCUklCOnY0,Andorra la Vieja,,parish,mapbox.boundaries-adm1-v4,5,4,"[1.5079,42.4949]","[1.4604,42.4695,1.5564,42.5218]",AND006
AD,AND,adm1,dXJuOm1ieGJuZDpCaElCOnY0,Escaldes-Engordany,,parish,mapbox.boundaries-adm1-v4,5,4,"[1.6057,42.4868]","[1.5231,42.4498,1.6631,42.5236]",AND007
AE,ARE,adm1,dXJuOm1ieGJuZDpBUklDOnY0,أبو ظبي,Abu Dhabi,emirate,mapbox.boundaries-adm1-v4,1,0,"[53.7102,23.7758]","[51.498,22.6315,56.0181,25.1632]",ARE001
AE,ARE,adm1,dXJuOm1ieGJuZDpBaElDOnY0,عجمان,Ajman,emirate,mapbox.boundaries-adm1-v4,1,0,"[55.5408,25.4036]","[55.422,24.7415,56.1279,25.4508]",ARE002
AE,ARE,adm1,dXJuOm1ieGJuZDpBeElDOnY0,دبي,Dubai,emirate,mapbox.boundaries-adm1-v4,1,0,"[55.3686,24.9891]","[54.8815,24.6204,56.2056,25.3696]",ARE003
AE,ARE,adm1,dXJuOm1ieGJuZDpCQklDOnY0,الفجيرة,Fujairah,emirate,mapbox.boundaries-adm1-v4,1,0,"[56.2284,25.5085]","[55.9436,24.9086,56.3767,25.7265]",ARE004
AE,ARE,adm1,dXJuOm1ieGJuZDpCUklDOnY0,رأس الخيمة,Ras Al Khaimah,emirate,mapbox.boundaries-adm1-v4,1,0,"[56.011,25.7257]","[55.7311,24.8376,56.2809,26.0694]",ARE005
AE,ARE,adm1,dXJuOm1ieGJuZDpCaElDOnY0,الشارقة,Sharjah,emirate,mapbox.boundaries-adm1-v4,1,0,"[55.8216,25.1309]","[54.1979,24.7585,56.3816,25.6259]",ARE006
AE,ARE,adm1,dXJuOm1ieGJuZDpCeElDOnY0,ام القيوين,Umm Al Quwain,emirate,mapbox.boundaries-adm1-v4,1,0,"[55.6975,25.4998]","[55.521,25.3267,55.9546,25.6586]",ARE007
AF,AFG,adm1,dXJuOm1ieGJuZDpBUklEOnY0,کابل,Kabul,province,mapbox.boundaries-adm1-v4,0,0,"[69.3416,34.5401]","[68.8328,34.1467,69.9462,34.932]",AFG001
AF,AFG,adm1,dXJuOm1ieGJuZDpBaElEOnY0,کاپیسا,Kapisa,province,mapbox.boundaries-adm1-v4,0,0,"[69.7469,34.907]","[69.2737,34.6338,69.926,35.179]",AFG002
AF,AFG,adm1,dXJuOm1ieGJuZDpBeElEOnY0,پروان,Parwan,province,mapbox.boundaries-adm1-v4,0,0,"[68.7522,35.004]","[68.1896,34.5839,69.6231,35.4215]",AFG003
AF,AFG,adm1,dXJuOm1ieGJuZDpCQklEOnY0,میدان وردک,Maidan Wardak,province,mapbox.boundaries-adm1-v4,0,0,"[68.1361,34.2298]","[67.2239,33.6588,68.9686,34.7976]",AFG004
AF,AFG,adm1,dXJuOm1ieGJuZDpCUklEOnY0,لوگر,Logar,province,mapbox.boundaries-adm1-v4,0,0,"[69.1636,33.9821]","[68.7128,33.5953,69.9083,34.3679]",AFG005
AF,AFG,adm1,dXJuOm1ieGJuZDpDQklEOnY0,ننگرهار,Nangarhar,province,mapbox.boundaries-adm1-v4,0,0,"[70.394,34.3749]","[69.4776,33.9392,71.1765,34.809]",AFG006
AF,AFG,adm1,dXJuOm1ieGJuZDpDUklEOnY0,لغمان,Laghman,province,mapbox.boundaries-adm1-v4,0,0,"[70.2696,34.8233]","[69.8062,34.4253,70.6298,35.2183]",AFG007
AF,AFG,adm1,dXJuOm1ieGJuZDpJUklEOnY0,پنجشیر,Panjsher,province,mapbox.boundaries-adm1-v4,0,0,"[69.8821,35.4836]","[69.2406,35.0754,70.2941,35.8901]",AFG008
AF,AFG,adm1,dXJuOm1ieGJuZDpEUklEOnY0,بغلان,Baghlan,province,mapbox.boundaries-adm1-v4,0,0,"[69.0783,35.7799]","[68.0041,35.0043,69.9716,36.5481]",AFG009
AF,AFG,adm1,dXJuOm1ieGJuZDpIQklEOnY0,بامیان,Bamyan,province,mapbox.boundaries-adm1-v4,0,0,"[67.0715,34.6623]","[66.2768,33.8345,68.2817,35.4818]",AFG010
AF,AFG,adm1,dXJuOm1ieGJuZDpCaElEOnY0,غزنی,Ghazni,province,mapbox.boundaries-adm1-v4,0,0,"[67.7634,33.1262]","[66.8249,32.0242,68.8236,34.2146]",AFG011
AF,AFG,adm1,dXJuOm1ieGJuZDpIUklEOnY0,پکتیکا,Paktika,province,mapbox.boundaries-adm1-v4,0,0,"[68.6563,32.512]","[67.8567,31.5932,69.5476,33.4202]",AFG012
AF,AFG,adm1,dXJuOm1ieGJuZDpCeElEOnY0,پکتیا,Paktya,province,mapbox.boundaries-adm1-v4,0,0,"[69.2835,33.6199]","[68.7669,33.1517,70.0491,34.0856]",AFG013
AF,AFG,adm1,dXJuOm1ieGJuZDpJQklEOnY0,خوست,Khost,province,mapbox.boundaries-adm1-v4,0,0,"[69.9095,33.3708]","[69.3516,33.0083,70.3287,33.7314]",AFG014
AF,AFG,adm1,dXJuOm1ieGJuZDpDaElEOnY0, کنر,Kunar,province,mapbox.boundaries-adm1-v4,0,0,"[71.0578,34.957]","[70.5884,34.5452,71.6808,35.3668]",AFG015
AF,AFG,adm1,dXJuOm1ieGJuZDpIaElEOnY0,نورستان,Nuristan,province,mapbox.boundaries-adm1-v4,0,0,"[71.2411,35.4813]","[69.9136,34.9196,71.6571,36.0392]",AFG016
AF,AFG,adm1,dXJuOm1ieGJuZDpDeElEOnY0,بدخشان,Badakhshan,province,mapbox.boundaries-adm1-v4,0,0,"[73.3772,36.9821]","[69.9622,35.443,74.8899,38.4907]",AFG017
AF,AFG,adm1,dXJuOm1ieGJuZDpEQklEOnY0,تخار,Takhar,province,mapbox.boundaries-adm1-v4,0,0,"[69.6337,36.7091]","[69.1293,35.7874,70.4892,37.6204]",AFG018
AF,AFG,adm1,dXJuOm1ieGJuZDpEaElEOnY0,کندز,Kunduz,province,mapbox.boundaries-adm1-v4,0,0,"[68.6747,36.8428]","[68.0314,36.3476,69.3378,37.3348]",AFG019
AF,AFG,adm1,dXJuOm1ieGJuZDpEeElEOnY0,سمنگان,Samangan,province,mapbox.boundaries-adm1-v4,0,0,"[67.6966,35.9905]","[66.8688,35.3457,68.543,36.6298]",AFG020
AF,AFG,adm1,dXJuOm1ieGJuZDpFQklEOnY0,بلخ,Balkh,province,mapbox.boundaries-adm1-v4,0,0,"[66.9925,36.5398]","[66.218,35.6713,68.204,37.3987]",AFG021
AF,AFG,adm1,dXJuOm1ieGJuZDpIeElEOnY0,سرپل,Sar-e-Pul,province,mapbox.boundaries-adm1-v4,0,0,"[66.0984,35.6893]","[65.3804,34.8557,67.0082,36.514]",AFG022
AF,AFG,adm1,dXJuOm1ieGJuZDpHeElEOnY0,غور,Ghor,province,mapbox.boundaries-adm1-v4,0,0,"[64.5284,34.2108]","[63.2508,33.1259,66.7264,35.2818]",AFG023
AF,AFG,adm1,dXJuOm1ieGJuZDpJaElEOnY0,دایکندی,Daykundi,province,mapbox.boundaries-adm1-v4,0,0,"[66.4026,33.7005]","[65.3419,33.0341,67.4217,34.3617]",AFG024
AF,AFG,adm1,dXJuOm1ieGJuZDpHaElEOnY0,ارزگان,Uruzgan,province,mapbox.boundaries-adm1-v4,0,0,"[66.0691,32.9826]","[65.172,32.3613,67.043,33.5994]",AFG025
AF,AFG,adm1,dXJuOm1ieGJuZDpHUklEOnY0,زابل,Zabul,province,mapbox.boundaries-adm1-v4,0,0,"[67.0146,32.2773]","[66.1855,31.498,68.1712,33.05]",AFG026
AF,AFG,adm1,dXJuOm1ieGJuZDpHQklEOnY0,کندهار,Kandahar,province,mapbox.boundaries-adm1-v4,0,0,"[65.6906,31.0607]","[64.5054,29.5347,67.7967,32.5571]",AFG027
AF,AFG,adm1,dXJuOm1ieGJuZDpFUklEOnY0,جوزجان,Jawzjan,province,mapbox.boundaries-adm1-v4,0,0,"[65.9143,36.7366]","[65.1535,35.914,66.5809,37.551]",AFG028
AF,AFG,adm1,dXJuOm1ieGJuZDpFaElEOnY0,فاریاب,Faryab,province,mapbox.boundaries-adm1-v4,0,0,"[64.766,36.2056]","[63.8222,35.1449,65.7972,37.2512]",AFG029
AF,AFG,adm1,dXJuOm1ieGJuZDpGeElEOnY0,هلمند,Helmand,province,mapbox.boundaries-adm1-v4,0,0,"[64.0031,31.5597]","[62.5535,29.3771,65.6841,33.6882]",AFG030
AF,AFG,adm1,dXJuOm1ieGJuZDpFeElEOnY0,بادغیس,Badghis,province,mapbox.boundaries-adm1-v4,0,0,"[63.6034,35.2758]","[62.6781,34.5119,64.806,36.0325]",AFG031
AF,AFG,adm1,dXJuOm1ieGJuZDpGQklEOnY0,هرات,Herat,province,mapbox.boundaries-adm1-v4,0,0,"[61.9579,34.1693]","[60.472,32.6876,64.1321,35.6255]",AFG032
AF,AFG,adm1,dXJuOm1ieGJuZDpGUklEOnY0,فراه,Farah,province,mapbox.boundaries-adm1-v4,0,0,"[62.3906,32.5285]","[60.6891,31.3875,64.4007,33.6557]",AFG033
AF,AFG,adm1,dXJuOm1ieGJuZDpGaElEOnY0,نیمروز,Nimroz,province,mapbox.boundaries-adm1-v4,0,0,"[62.4632,30.8217]","[60.8732,29.3793,63.5769,32.2434]",AFG034
AG,ATG,adm1,dXJuOm1ieGJuZDpBUklFOnY0,Saint George,,parish,mapbox.boundaries-adm1-v4,5,4,"[-61.7986,17.1248]","[-61.8165,17.079,-61.7456,17.1706]",ATG001
AG,ATG,adm1,dXJuOm1ieGJuZDpBaElFOnY0,Saint John,,parish,mapbox.boundaries-adm1-v4,5,4,"[-61.8523,17.1119]","[-61.9054,17.0504,-61.7924,17.1736]",ATG002
AG,ATG,adm1,dXJuOm1ieGJuZDpBeElFOnY0,Saint Mary,,parish,mapbox.boundaries-adm1-v4,5,4,"[-61.8681,17.0563]","[-61.9063,17.0041,-61.8094,17.1093]",ATG003
AG,ATG,adm1,dXJuOm1ieGJuZDpCQklFOnY0,Saint Paul,,parish,mapbox.boundaries-adm1-v4,5,4,"[-61.7761,17.0309]","[-61.8175,16.9976,-61.7301,17.0647]",ATG004
AG,ATG,adm1,dXJuOm1ieGJuZDpCUklFOnY0,Saint Peter,,parish,mapbox.boundaries-adm1-v4,5,4,"[-61.7583,17.0994]","[-61.7948,17.0602,-61.7129,17.1486]",ATG005
AG,ATG,adm1,dXJuOm1ieGJuZDpCaElFOnY0,Saint Philip,,parish,mapbox.boundaries-adm1-v4,5,4,"[-61.719,17.0673]","[-61.7464,17.0309,-61.657,17.1082]",ATG006
AG,ATG,adm1,dXJuOm1ieGJuZDpCeElFOnY0,Barbuda,,parish,mapbox.boundaries-adm1-v4,5,4,"[-61.7866,17.6361]","[-61.8859,17.5435,-61.7312,17.7294]",ATG007
AG,ATG,adm1,dXJuOm1ieGJuZDpDQklFOnY0,Redonda,,parish,mapbox.boundaries-adm1-v4,5,4,"[-62.345,16.9385]","[-62.3482,16.9323,-62.3413,16.9447]",ATG008
AI,AIA,adm1,dXJuOm1ieGJuZDpBUklGOnY0,Anguilla,,territory,mapbox.boundaries-adm1-v4,1,0,"[-63.04,18.218]","[-63.4296,18.1499,-62.9244,18.5953]",AIA001
AL,ALB,adm1,dXJuOm1ieGJuZDpBUklHOnY0,Berat,,county,mapbox.boundaries-adm1-v4,2,1,"[20.0994,40.6186]","[19.7345,40.3454,20.4481,40.8907]",ALB001
AL,ALB,adm1,dXJuOm1ieGJuZDpBaElHOnY0,Dibër,,county,mapbox.boundaries-adm1-v4,2,1,"[20.178,41.6234]","[19.8118,41.3374,20.5737,41.9081]",ALB002
AL,ALB,adm1,dXJuOm1ieGJuZDpBeElHOnY0,Durrës,,county,mapbox.boundaries-adm1-v4,2,1,"[19.5362,41.4266]","[19.3914,41.2499,19.9223,41.6026]",ALB003
AL,ALB,adm1,dXJuOm1ieGJuZDpCQklHOnY0,Elbasan,,county,mapbox.boundaries-adm1-v4,2,1,"[20.1593,41.0593]","[19.6667,40.707,20.6144,41.4104]",ALB004
AL,ALB,adm1,dXJuOm1ieGJuZDpCUklHOnY0,Fier,,county,mapbox.boundaries-adm1-v4,2,1,"[19.5702,40.7453]","[19.3134,40.4189,19.9312,41.0702]",ALB005
AL,ALB,adm1,dXJuOm1ieGJuZDpCaElHOnY0,Gjirokastër,,county,mapbox.boundaries-adm1-v4,2,1,"[20.2092,40.1524]","[19.7554,39.7844,20.6151,40.5183]",ALB006
AL,ALB,adm1,dXJuOm1ieGJuZDpCeElHOnY0,Korçë,,county,mapbox.boundaries-adm1-v4,2,1,"[20.7342,40.5861]","[20.2965,40.0799,21.0569,41.0892]",ALB007
AL,ALB,adm1,dXJuOm1ieGJuZDpDQklHOnY0,Kukës,,county,mapbox.boundaries-adm1-v4,2,1,"[20.3775,42.188]","[19.7982,41.8149,20.6267,42.5592]",ALB008
AL,ALB,adm1,dXJuOm1ieGJuZDpDUklHOnY0,Lezhë,,county,mapbox.boundaries-adm1-v4,2,1,"[19.8927,41.7939]","[19.4491,41.5529,20.2796,42.0342]",ALB009
AL,ALB,adm1,dXJuOm1ieGJuZDpDaElHOnY0,Shkodër,,county,mapbox.boundaries-adm1-v4,2,1,"[19.5942,42.2513]","[19.2811,41.8402,20.2481,42.6603]",ALB010
AL,ALB,adm1,dXJuOm1ieGJuZDpDeElHOnY0,Tiranë,,county,mapbox.boundaries-adm1-v4,2,1,"[19.8616,41.2744]","[19.4366,41.0327,20.2396,41.515]",ALB011
AL,ALB,adm1,dXJuOm1ieGJuZDpEQklHOnY0,Vlorë,,county,mapbox.boundaries-adm1-v4,2,1,"[19.7476,40.1559]","[19.2635,39.6449,20.3226,40.6654]",ALB012
AM,ARM,adm1,dXJuOm1ieGJuZDpBUklIOnY0,Երևան,Yerevan,province,mapbox.boundaries-adm1-v4,2,1,"[44.5088,40.1665]","[44.3929,40.0805,44.6161,40.2525]",ARM001
AM,ARM,adm1,dXJuOm1ieGJuZDpBaElIOnY0,Արագածոտնի,Aragatsotn,province,mapbox.boundaries-adm1-v4,2,1,"[44.3015,40.4617]","[43.5906,40.1731,44.5561,40.7488]",ARM002
AM,ARM,adm1,dXJuOm1ieGJuZDpBeElIOnY0,Արարատի,Ararat,province,mapbox.boundaries-adm1-v4,2,1,"[44.8061,39.9437]","[44.3247,39.714,45.1151,40.1718]",ARM003
AM,ARM,adm1,dXJuOm1ieGJuZDpCQklIOnY0,Արմավիրի,Armavir,province,mapbox.boundaries-adm1-v4,2,1,"[44.0407,40.15]","[43.6485,40.0185,44.4317,40.2809]",ARM004
AM,ARM,adm1,dXJuOm1ieGJuZDpCUklIOnY0,Գեղարքունիքի,Gegharkunik,province,mapbox.boundaries-adm1-v4,2,1,"[45.4009,40.3071]","[44.7845,39.8712,45.9805,40.7396]",ARM005
AM,ARM,adm1,dXJuOm1ieGJuZDpCaElIOnY0,Լոռու,Lori,province,mapbox.boundaries-adm1-v4,2,1,"[44.4848,40.9608]","[43.9566,40.6718,44.9425,41.2483]",ARM006
AM,ARM,adm1,dXJuOm1ieGJuZDpCeElIOnY0,Կոտայքի,Kotayk,province,mapbox.boundaries-adm1-v4,2,1,"[44.6952,40.4104]","[44.3761,40.1069,45.0253,40.711]",ARM007
AM,ARM,adm1,dXJuOm1ieGJuZDpDQklIOnY0,Շիրակի,Shirak,province,mapbox.boundaries-adm1-v4,2,1,"[43.8704,40.7997]","[43.4474,40.4211,44.1986,41.1763]",ARM008
AM,ARM,adm1,dXJuOm1ieGJuZDpDUklIOnY0,Սյունիքի,Syunik,province,mapbox.boundaries-adm1-v4,2,1,"[46.1513,39.3514]","[45.6956,38.8402,46.6342,39.8587]",ARM009
AM,ARM,adm1,dXJuOm1ieGJuZDpDaElIOnY0,Վայոց ձորի,Vayots Dzor,province,mapbox.boundaries-adm1-v4,2,1,"[45.4123,39.7489]","[45.0626,39.4914,45.8154,40.0055]",ARM010
AM,ARM,adm1,dXJuOm1ieGJuZDpDeElIOnY0,Տավուշի,Tavush,province,mapbox.boundaries-adm1-v4,2,1,"[45.1191,40.9707]","[44.7335,40.6387,45.6079,41.3011]",ARM011
AO,AGO,adm1,dXJuOm1ieGJuZDpBUklJOnY0,Bengo,,province,mapbox.boundaries-adm1-v4,0,0,"[14.0038,-8.3079]","[13.0961,-8.9774,14.9775,-7.6354]",AGO001
AO,AGO,adm1,dXJuOm1ieGJuZDpBaElJOnY0,Benguela,,province,mapbox.boundaries-adm1-v4,0,0,"[13.8883,-12.8704]","[12.5212,-13.9674,15.1246,-11.7674]",AGO002
AO,AGO,adm1,dXJuOm1ieGJuZDpBeElJOnY0,Bié,,province,mapbox.boundaries-adm1-v4,0,0,"[17.4272,-12.4463]","[15.7012,-14.3081,19.2483,-10.572]",AGO003
AO,AGO,adm1,dXJuOm1ieGJuZDpCQklJOnY0,Cabinda,,province,mapbox.boundaries-adm1-v4,0,0,"[12.2642,-5.0659]","[12.0153,-5.7706,13.1108,-4.3607]",AGO004
AO,AGO,adm1,dXJuOm1ieGJuZDpCUklJOnY0,Cuando Cubango,,province,mapbox.boundaries-adm1-v4,0,0,"[19.4231,-15.8112]","[16.4609,-18.0395,23.4382,-13.5583]",AGO005
AO,AGO,adm1,dXJuOm1ieGJuZDpCaElJOnY0,Cuanza Norte,,province,mapbox.boundaries-adm1-v4,0,0,"[15.1522,-8.8767]","[13.995,-9.7925,15.8288,-7.9596]",AGO006
AO,AGO,adm1,dXJuOm1ieGJuZDpCeElJOnY0,Cuanza Sul,,province,mapbox.boundaries-adm1-v4,0,0,"[15.0513,-10.9503]","[13.4951,-12.2187,16.6058,-9.6759]",AGO007
AO,AGO,adm1,dXJuOm1ieGJuZDpDQklJOnY0,Cunene,,province,mapbox.boundaries-adm1-v4,0,0,"[15.5942,-16.2844]","[13.1617,-17.4384,17.4029,-15.122]",AGO008
AO,AGO,adm1,dXJuOm1ieGJuZDpDUklJOnY0,Huambo,,province,mapbox.boundaries-adm1-v4,0,0,"[15.6065,-12.6124]","[14.7806,-13.7674,16.5976,-11.4524]",AGO009
